Wave Length,Blanco,240,924,1244,2819,3433,4168,4580,5307,Infinity
798.9888916,1.527763247,0.1333195586481674,0.32317143801890214,0.6214446206336316,0.7103239535358589,0.7271721646222201,0.7444288780036131,0.7558734682129256,0.7722057810613858,0.826547338702
798.0165405,1.559204102,0.14532026106709917,0.34255591588658124,0.6462080474416002,0.7304029436248893,0.7470165168633388,0.7664331959654689,0.7770091974873193,0.7921200767675696,0.826926047956
797.0088501,1.558387399,0.16148536950770248,0.3451828409001191,0.6422495517634181,0.7282268385495734,0.7486444641659383,0.7654661689269724,0.7754732595602675,0.7911690732602616,0.827002159535
796.0009155,1.591626287,0.1925859876603693,0.36018445156502626,0.6641961653852059,0.749460561602336,0.7697056741092432,0.7873327423675234,0.7977252267805222,0.8130385038721019,0.826769775579
794.9924927,1.609881759,0.19452162452747007,0.3720555749468741,0.6753357301623233,0.7626009961717543,0.7815634770886742,0.7992001014891942,0.8093418666113976,0.8256032900389957,0.827981262004
793.9837036,1.594508052,0.17999871037900356,0.3658407800991778,0.6644745876486912,0.7519725996592183,0.7698966236076259,0.7889218277486268,0.7995476179109956,0.8141172316227981,0.826851060991
793.0093384,1.550298095,0.14177540265046457,0.3311700529943927,0.6349368967993094,0.7213189214259849,0.7415914476062196,0.7588016349650272,0.7706526811913686,0.786432454023076,0.827862249001
791.9996948,1.577585459,0.16439461662563856,0.3471970122443859,0.6526015719665804,0.7415390141372938,0.7578234302568297,0.7779047943366874,0.7881189933211767,0.8026837227580292,0.827435363111
790.9898071,1.562987685,0.1490650456835153,0.3393650410863622,0.6431798015718834,0.730329486202544,0.7489850304717762,0.7694110732356007,0.7780014369069502,0.7946399912684232,0.82841865485
790.0142212,1.54913795,0.150588318892912,0.3316729195462355,0.6353448970634278,0.7230610021854229,0.7393483913644164,0.7599044559889795,0.7705432194074858,0.7857296986484629,0.828174364275
789.003479,1.565860748,0.15761803363920676,0.3371299392166836,0.6480250328975338,0.7316360757441644,0.7509648187228536,0.7707698452954688,0.7810173268566074,0.7972188262549406,0.827895676292
787.9923096,1.550789118,0.1542821379787928,0.3342824697557008,0.6351395649299938,0.7241770669144242,0.7408693676042449,0.7589777581625875,0.7690251777488746,0.7857145053792376,0.827091712457
787.015625,1.601485491,0.17758352710570957,0.3616317386709511,0.6698099060215905,0.7524078206872371,0.7727666034222008,0.7931220656275366,0.8011859516825768,0.8190226379931703,0.82860291043
786.0036621,1.573351145,0.15212140016689998,0.3468735307306981,0.6518388155414435,0.7376805784023851,0.7553857756264097,0.7742828304495896,0.7850729289816163,0.799302149798775,0.828376260185
784.991333,1.543468356,0.14778965331451938,0.327484188021524,0.6303200481459476,0.7185127264203436,0.7368908327305717,0.7526940230695367,0.7653105478297944,0.7800462072621057,0.827822122739
784.0135498,1.581277609,0.15191583567412592,0.35191548419767427,0.6571546353575616,0.7430174217832535,0.7622398305982604,0.7792987794925953,0.7912003865153892,0.8066066577404447,0.828404595652
783.0003662,1.556381464,0.14722153440402155,0.3419894954600249,0.6402149165378965,0.7259009813451794,0.7453810786765092,0.7634232516812797,0.7733282747010956,0.7892772980243278,0.82868459643
781.9868164,1.552750945,0.146162516710872,0.3340915775212314,0.6360543705185554,0.7222981105034413,0.7415941694558862,0.7590470643398947,0.7718632648674807,0.7861872559063195,0.828116978968
