muestra1;;
Long.de onda (nm);Abs;
799,9957275;0,1015894562;
798,9888916;0,1030468121;
798,0165405;0,1036314368;
797,0088501;0,1037489325;
796,0009155;0,1033901945;
794,9924927;0,105260402;
793,9837036;0,1035156772;
793,0093384;0,1050766781;
791,9996948;0,1044176817;
790,9898071;0,1059356183;
790,0142212;0,1055584997;
789,003479;0,1051282808;
787,9923096;0,103887178;
787,015625;0,1062200591;
786,0036621;0,1058701724;
784,991333;0,105014734;
784,0135498;0,1059139147;
783,0003662;0,1063461602;
781,9868164;0,1054699123;
781,0078735;0,1065027043;
779,9936523;0,1040309593;
779,013855;0,1063504294;
777,9987793;0,1058744341;
776,9833374;0,1062488183;
776,0025024;0,1068462431;
774,9862061;0,1063021496;
774,0046997;0,1074690223;
772,9876709;0,1067084447;
772,0053101;0,1059748679;
770,9875488;0,1077870205;
770,0044556;0,1083381251;
768,9859009;0,1064875871;
768,0020752;0,1071970463;
766,9827881;0,106812045;
765,9981689;0,1067910939;
765,0133667;0,1069651768;
763,9928589;0,1058526039;
763,0072632;0,1067223474;
761,9859619;0,1076050773;
760,9996338;0,1078998744;
760,0128784;0,1076135635;
758,9904785;0,1077251807;
758,0031128;0,107221365;
757,0151978;0,1078698412;
755,9917603;0,1070750654;
755,0031738;0,1081468165;
754,0142822;0,1069241837;
752,9897461;0,107286714;
752,000061;0,1068486273;
751,0100098;0,1075896546;
749,984375;0,1073902547;
748,9935913;0,1083538681;
748,0026245;0,1073644683;
747,0111694;0,1074275821;
745,9839478;0,1091637984;
744,9918823;0,1067326367;
743,9993286;0,1081833094;
743,0064697;0,1063296646;
742,0133057;0,106754221;
740,9842529;0,1064625755;
739,9903564;0,1061616838;
738,9960938;0,1064484194;
738,0015869;0,1070147902;
737,0065308;0,1063287333;
736,0112305;0,1062496826;
735,015625;0,1066562235;
733,9840088;0,1072662994;
732,9876709;0,1062877029;
731,9909668;0,1055669487;
730,9938965;0,10584943;
729,996582;0,1064611897;
728,9987793;0,1059799865;
728,0007324;0,1058477834;
727,0023193;0,1068012565;
726,00354;0,1070560217;
725,0043945;0,1070185974;
724,0050049;0,1081043184;
723,005188;0,1076370105;
722,0050049;0,108785063;
721,0045166;0,1091811433;
720,0037231;0,1100344658;
719,0025635;0,1112103164;
718,0010986;0,1107644513;
716,9992676;0,1105190143;
715,9970093;0,1108604372;
714,9945679;0,1110707298;
713,9916382;0,1122543514;
712,9884644;0,1117046848;
711,9849854;0,1134210825;
711,0169678;0,1141188368;
710,0127563;0,115610078;
709,0081787;0,1174816266;
708,0033569;0,1182272732;
706,9981689;0,119636856;
705,9926758;0,120278433;
704,9867554;0,1211689636;
704,0165405;0,1224876419;
703,0100708;0,1244829372;
702,0031738;0,1259385049;
700,9959717;0,1271938235;
699,9884644;0,1292127967;
699,0166016;0,1309131235;
698,0084839;0,1318788379;
696,999939;0,133101359;
695,9912109;0,1355518401;
695,0180664;0,1387593746;
694,008606;0,1380332857;
692,9988403;0,1413438916;
691,9886475;0,1411284208;
691,0143433;0,1431977898;
690,00354;0,1440964043;
688,9924927;0,1459465772;
688,0171509;0,1467529386;
687,0054321;0,1483090669;
685,9934082;0,1512890011;
685,0172119;0,1519613564;
684,0044556;0,1524964422;
682,9915161;0,1544449925;
682,0144043;0,1559340507;
681,0006714;0,1577697098;
679,9866943;0,1589992046;
679,008667;0,1612175405;
677,9941406;0,162351504;
677,0154419;0,165559113;
676,0001831;0,1686404198;
674,9846191;0,171675548;
674,0050659;0,1745617092;
672,9888916;0,1742190272;
672,008728;0,1776370108;
670,9919434;0,1785336435;
670,0111084;0,1807281375;
668,9937134;0,1820701659;
668,0123901;0,18148081;
666,9943237;0,1854060888;
666,0123291;0,185899362;
664,9936523;0,1877056956;
664,0111084;0,1901790649;
662,9918213;0,1926012188;
662,008606;0,1947411746;
660,9887695;0,1975788027;
660,0050049;0,2002989203;
658,9844971;0,2033917308;
658,0001221;0,2055706531;
657,0155029;0,2090388089;
655,9940186;0,2111777961;
655,0088501;0,214673087;
653,9868164;0,2165898681;
653,0009766;0,2188047022;
652,0148926;0,2213717401;
650,9920044;0,225348562;
650,0053101;0,2287360877;
648,9817505;0,2325996459;
647,9945068;0,2352897525;
647,006958;0,2388103902;
645,9825439;0,2423750609;
644,9943848;0,2463775128;
644,0059814;0,2509294748;
643,0172729;0,2542521954;
641,9916992;0,2595553696;
641,0023804;0,263746798;
640,0128784;0,2676553726;
638,9863281;0,2715339661;
637,9962158;0,2779034972;
637,0057983;0,2820613384;
636,0151367;0,2862166464;
634,9874878;0,2906708121;
633,9962158;0,2957169712;
633,0046997;0,2995826006;
632,0128784;0,3057387173;
630,9840088;0,3110845983;
629,9916382;0,3149526417;
628,9990234;0,321901381;
628,0060425;0,3270644248;
627,0128784;0,3324535191;
625,982605;0,3383601904;
624,9887695;0,3455024064;
623,994812;0,3511919975;
623,0004883;0,3566509485;
622,0059204;0,3630838096;
621,0109863;0,3693834543;
620,0159302;0,3769616485;
618,9835815;0,3832363188;
617,987854;0,3904150128;
616,9919434;0,3960976005;
615,9957275;0,4036751091;
614,9991455;0,4092135131;
614,0024414;0,4174973071;
613,0054321;0,4224737883;
612,0080566;0,4311189353;
611,010498;0,4389306605;
610,0126953;0,4468542635;
609,0145264;0,4523929954;
608,0161743;0,4587258101;
607,0174561;0,4688538313;
605,9815674;0,47544837;
604,9823608;0,4828035831;
603,9829102;0,4907602072;
602,9832153;0,4977839291;
601,9832153;0,5041546822;
600,9829102;0,5126242042;
599,9824219;0,5198128819;
598,9816284;0,5299780369;
598,0177002;0,5352634192;
597,0163574;0,5442172289;
596,0148315;0,5523779988;
595,0130005;0,5600889921;
594,0109253;0,565903604;
593,0085449;0,5744916201;
592,0059814;0,5822777152;
591,0031128;0,5903483629;
589,999939;0,5984960198;
588,996582;0,604939878;
587,9929199;0,6130024791;
586,9890137;0,6206116676;
585,9848022;0,628264308;
585,0176392;0,6365883946;
584,0129395;0,6433440447;
583,0080566;0,6502472162;
582,0028076;0,6585229039;
580,9974365;0,667725265;
579,9917603;0,6742485166;
578,9857788;0,6820571423;
578,0168457;0,6892685294;
577,010437;0,6974920034;
576,0037231;0,7038573623;
574,9967651;0,7092798948;
573,989563;0,7160937786;
572,9821167;0,7238054276;
572,0117188;0,7303732634;
571,0037842;0,7377284169;
569,9955444;0,7430677414;
568,9871826;0,7488338351;
568,0157471;0,753684938;
567,006897;0,7606508136;
565,9976807;0,7657270432;
