;3 min;15 min;30 min;47 min;57 min;70 min;76 min;88 min;Final;Blanco
Long.de onda (nm); Abs; Abs;Abs;Abs;Abs;Abs;Abs;Abs; Abs;Abs
747.0111694;1.347834945;1.043631196;0.5752664208;0.4383794665;0.411149919;0.3837449849;0.3654145896;0.3404919207;0.1074275821;1.543384194
745.9839478;1.324883938;1.041106701;0.573997736;0.4386360347;0.4097625315;0.3824894428;0.3667778969;0.3403064907;0.1091637984;1.577802539
744.9918823;1.320093036;1.038196683;0.5736939311;0.4394736588;0.409645468;0.3812255263;0.3634201586;0.3389738202;0.1067326367;1.58591485
743.9993286;1.314536929;1.035950065;0.575160563;0.4370669723;0.4090806544;0.3818053603;0.3630813658;0.3391332626;0.1081833094;1.562135935
743.0064697;1.316616297;1.041897774;0.5743225217;0.4392986894;0.4099790454;0.3815835714;0.3647296131;0.3392155468;0.1063296646;1.554019213
742.0133057;1.331598282;1.041014433;0.5756862164;0.4392337501;0.4093568325;0.3818042874;0.3627807796;0.340437144;0.106754221;1.580118418
740.9842529;1.336829662;1.039526343;0.572840035;0.4387932122;0.4099874496;0.3821684718;0.3628607988;0.3384975791;0.1064625755;1.574162126
739.9903564;1.326335907;1.040807486;0.574729979;0.4370769858;0.4102317095;0.3830159009;0.3641274273;0.3389385045;0.1061616838;1.568622708
738.9960938;1.331732035;1.036363244;0.5730117559;0.4380270839;0.4085054696;0.3807438016;0.3635757565;0.3372015655;0.1064484194;1.565150619
738.0015869;1.325084686;1.04076612;0.5737614036;0.4398590326;0.4086190164;0.3797558248;0.3626537621;0.3391236961;0.1070147902;1.5614959
737.0065308;1.329141736;1.046384454;0.5743829608;0.4384006858;0.4083684087;0.3812326491;0.3649842739;0.3382019997;0.1063287333;1.562199712
736.0112305;1.319325566;1.038900256;0.5740969777;0.4382628202;0.4087589085;0.3804390728;0.3619061112;0.3375262022;0.1062496826;1.552067637
735.015625;1.32329154;1.032954097;0.5746042728;0.4385075867;0.4072516859;0.3811805844;0.3621402979;0.3366198242;0.1066562235;1.556931019
733.9840088;1.325842619;1.034117818;0.5712572336;0.4368455112;0.4074381292;0.3806416988;0.3629641831;0.335645467;0.1072662994;1.558902621
732.9876709;1.318296313;1.035690069;0.572280705;0.4364759624;0.4067108333;0.3797426522;0.3603115082;0.3356660008;0.1062877029;1.568738937
731.9909668;1.328983188;1.031042099;0.5715053678;0.4349122345;0.4070589244;0.3786355257;0.3615676165;0.3343651593;0.1055669487;1.566558361
730.9938965;1.323054433;1.036188602;0.5719146132;0.4361495972;0.4062980413;0.3785432577;0.3602985442;0.3356801271;0.10584943;1.560352206
729.996582;1.309988618;1.038918972;0.5705640912;0.4359973371;0.4043061435;0.3782348335;0.3608748913;0.3344689906;0.1064611897;1.542355776
728.9987793;1.328958631;1.040546775;0.5696445704;0.4356620312;0.405452162;0.3776348233;0.3612787127;0.3338281214;0.1059799865;1.569416881
728.0007324;1.322373629;1.033716917;0.5729258657;0.4350112975;0.4050284624;0.3775899708;0.3594646752;0.333881557;0.1058477834;1.554890752
