muestra2;
Long.de onda (nm);Abs
608.0161743;0.663067162
607.0174561;0.6647921205
605.9815674;0.6648275852
604.9823608;0.664434731
603.9829102;0.6636666059
602.9832153;0.6640611887
601.9832153;0.6635795832
600.9829102;0.6640036106
599.9824219;0.6627224088
598.9816284;0.665602088
598.0177002;0.6639730334
597.0163574;0.6644906402
596.0148315;0.6643577814
595.0130005;0.6622149348
594.0109253;0.6623479724
593.0085449;0.6618238688
592.0059814;0.6604039073
591.0031128;0.6605693698
589.999939;0.6609023809
588.996582;0.659760654
587.9929199;0.6593665481
586.9890137;0.6585312486
585.9848022;0.6590158343
585.0176392;0.6591501236
584.0129395;0.6580209136
583.0080566;0.6584866643
582.0028076;0.6573444605
580.9974365;0.6576969028
579.9917603;0.6546442509
578.9857788;0.6570885181
578.0168457;0.6555232406
577.010437;0.6549068689
576.0037231;0.6551731229
574.9967651;0.6527954936
573.989563;0.6515772343
572.9821167;0.6505475044
572.0117188;0.650534749
571.0037842;0.6501778364
569.9955444;0.6489285231
568.9871826;0.6495159864
568.0157471;0.6472404003
567.006897;0.6460131407
565.9976807;0.6450052857
564.9882202;0.645537734
564.0158691;0.6432051659
563.0059814;0.6440141797
561.9958496;0.6413993835
560.9854736;0.6403950453
560.012146;0.6399811506
559.0012817;0.6397637725
557.9901123;0.6380324364
557.0161743;0.636339426
556.0045776;0.6360300779
554.9926758;0.6354661584
554.0180664;0.6350136399
553.0057373;0.6343910694
551.993103;0.6320853233
551.0177612;0.6322129369
550.0047607;0.6316463351
548.991394;0.6306115389
548.0153809;0.6297281384
547.0015869;0.6296693683
545.9876099;0.6292259097
545.0108643;0.6283844113
543.9963989;0.6280405521
542.9816284;0.626609087
542.0042114;0.6266652942
540.9890137;0.6259246469
540.0112305;0.6261205673
538.9955444;0.6256421208
538.0172119;0.6256605387
537.0011597;0.6246588826
535.9847412;0.6253503561
535.0058594;0.6254353523
533.9889526;0.6248831153
533.0095825;0.6243325472
531.9922485;0.6247615814
531.0124512;0.6245341301
529.9946899;0.62543118
529.0144043;0.6248324513
