muestra1; ; 3min; ; 
Long.de onda (nm); Abs; Long.de onda (nm); Abs; 
708.0033569; 0.1182272732; 708.0033569; 1.328660846; 
706.9981689; 0.119636856; 706.9981689; 1.326246023; 
705.9926758; 0.120278433; 705.9926758; 1.334159851; 
704.9867554; 0.1211689636; 704.9867554; 1.350425959; 
704.0165405; 0.1224876419; 704.0165405; 1.333483219; 
703.0100708; 0.1244829372; 703.0100708; 1.340601683; 
702.0031738; 0.1259385049; 702.0031738; 1.33841157; 
700.9959717; 0.1271938235; 700.9959717; 1.335810661; 
699.9884644; 0.1292127967; 699.9884644; 1.351811647; 
699.0166016; 0.1309131235; 699.0166016; 1.351112962; 
698.0084839; 0.1318788379; 698.0084839; 1.346649051; 
696.999939; 0.133101359; 696.999939; 1.33552587; 
695.9912109; 0.1355518401; 695.9912109; 1.346743226; 
695.0180664; 0.1387593746; 695.0180664; 1.357175231; 
694.008606; 0.1380332857; 694.008606; 1.346825123; 
692.9988403; 0.1413438916; 692.9988403; 1.355264783; 
691.9886475; 0.1411284208; 691.9886475; 1.352764726; 
691.0143433; 0.1431977898; 691.0143433; 1.35028398; 
690.00354; 0.1440964043; 690.00354; 1.362078309; 
688.9924927; 0.1459465772; 688.9924927; 1.360526085; 
688.0171509; 0.1467529386; 688.0171509; 1.347944021; 
687.0054321; 0.1483090669; 687.0054321; 1.35380888; 
685.9934082; 0.1512890011; 685.9934082; 1.356907129; 
685.0172119; 0.1519613564; 685.0172119; 1.357893705; 
684.0044556; 0.1524964422; 684.0044556; 1.361600995; 
682.9915161; 0.1544449925; 682.9915161; 1.359443545; 
682.0144043; 0.1559340507; 682.0144043; 1.352065682; 
681.0006714; 0.1577697098; 681.0006714; 1.350574493; 
679.9866943; 0.1589992046; 679.9866943; 1.361228704; 
679.008667; 0.1612175405; 679.008667; 1.367186069; 
677.9941406; 0.162351504; 677.9941406; 1.355585694; 
677.0154419; 0.165559113; 677.0154419; 1.379357219; 
676.0001831; 0.1686404198; 676.0001831; 1.374587536; 
674.9846191; 0.171675548; 674.9846191; 1.363088131; 
674.0050659; 0.1745617092; 674.0050659; 1.364527464; 
672.9888916; 0.1742190272; 672.9888916; 1.368636727; 
672.008728; 0.1776370108; 672.008728; 1.378374934; 
670.9919434; 0.1785336435; 670.9919434; 1.378977418; 
670.0111084; 0.1807281375; 670.0111084; 1.358899355; 
668.9937134; 0.1820701659; 668.9937134; 1.371601939; 
668.0123901; 0.18148081; 668.0123901; 1.372495532; 
666.9943237; 0.1854060888; 666.9943237; 1.368547678; 
666.0123291; 0.185899362; 666.0123291; 1.376588106; 
664.9936523; 0.1877056956; 664.9936523; 1.360134959; 
664.0111084; 0.1901790649; 664.0111084; 1.370266676; 
662.9918213; 0.1926012188; 662.9918213; 1.365752816; 
662.008606; 0.1947411746; 662.008606; 1.361183524; 
660.9887695; 0.1975788027; 660.9887695; 1.37208879; 
660.0050049; 0.2002989203; 660.0050049; 1.37869513; 
658.9844971; 0.2033917308; 658.9844971; 1.37336278; 
658.0001221; 0.2055706531; 658.0001221; 1.382407188; 
657.0155029; 0.2090388089; 657.0155029; 1.372902155; 
655.9940186; 0.2111777961; 655.9940186; 1.384256005; 
655.0088501; 0.214673087; 655.0088501; 1.379151464; 
653.9868164; 0.2165898681; 653.9868164; 1.370411873; 
653.0009766; 0.2188047022; 653.0009766; 1.37763989; 
652.0148926; 0.2213717401; 652.0148926; 1.374738574; 
650.9920044; 0.225348562; 650.9920044; 1.376363158; 
650.0053101; 0.2287360877; 650.0053101; 1.373702407; 
648.9817505; 0.2325996459; 648.9817505; 1.3809973; 
647.9945068; 0.2352897525; 647.9945068; 1.39027667; 
647.006958; 0.2388103902; 647.006958; 1.387201309; 
645.9825439; 0.2423750609; 645.9825439; 1.390027285; 
644.9943848; 0.2463775128; 644.9943848; 1.382949114; 
644.0059814; 0.2509294748; 644.0059814; 1.370260835; 
643.0172729; 0.2542521954; 643.0172729; 1.393566966; 
641.9916992; 0.2595553696; 641.9916992; 1.388943195; 
641.0023804; 0.263746798; 641.0023804; 1.385088325; 
640.0128784; 0.2676553726; 640.0128784; 1.394897699; 
638.9863281; 0.2715339661; 638.9863281; 1.38499105; 
637.9962158; 0.2779034972; 637.9962158; 1.387313366; 
637.0057983; 0.2820613384; 637.0057983; 1.381096959; 
636.0151367; 0.2862166464; 636.0151367; 1.392417669; 
634.9874878; 0.2906708121; 634.9874878; 1.388403535; 
633.9962158; 0.2957169712; 633.9962158; 1.395511746; 
633.0046997; 0.2995826006; 633.0046997; 1.394089699; 
632.0128784; 0.3057387173; 632.0128784; 1.388491988; 
630.9840088; 0.3110845983; 630.9840088; 1.392156482; 
629.9916382; 0.3149526417; 629.9916382; 1.389625549; 
628.9990234; 0.321901381; 628.9990234; 1.401529312; 
